Reviewer,Prompt,Z_Score
ChatGPT,1,3.709704134
ChatGPT,2,4.768225414
ChatGPT,3,6.843881185
ChatGPT,4,3.256694736
ChatGPT,5,4.96946054
contributor1,1,1.438184991
contributor1,2,1.04257207
contributor1,3,1.603567451
contributor1,4,4.19570275
Gemini,1,0.439941345
Gemini,2,100
Gemini,3,3.701716183
Gemini,4,1.290994449
Gemini,5,100
Claude,1,4.857220665
Claude,2,4.230298434
Claude,3,4.905778905
Claude,4,7.000665969
Claude,5,5.22230445
Llama3,1,2.295170205
Llama3,2,1.480872194
Llama3,3,5.481281278
Llama3,4,3.271651525
Llama3,5,3.188935899
contributor2,1,1.837023584
contributor2,2,2.2404914595235614
